Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A174,11127397627152210,1/1/21,20005578,Q,1,A174,33.89,28.55,5.08,17.09,8.81,6.38,,,
A175,11273308281854617,1/1/21,20005578,Q,1,A175,33.89,29.81,5.08,17.09,8.98,7.64,,,
A176,11359440654429833,1/1/21,20005578,Q,5,A176,12.55,10.36,1,2.85,8.98,6.51,,,
A177,11225153683807403,1/1/21,20005578,Q,1,A177,33.89,30.13,5.08,17.09,8.81,7.96,,,
A178,11455955273819417,1/1/21,20005579,Q,1,A178,33.89,28.86,5.08,17.09,8.98,6.69,,,
A179,11364187973893834,1/1/21,20036161,L,1,A179,22.35,21.16,3.35,10.82,6.99,6.99,,,
A180,11327635087986656,1/1/21,20036162,L,4,A180,64.84,64.76,9.73,45.04,9.99,9.99,,,
A181,11182068041003458,1/1/21,20036163,L,4,A181,30.57,30.42,4.59,15.84,9.99,9.99,,,
A182,11312396219833010,1/1/21,20036164,L,1,A182,26.6,26.57,3.99,17.83,4.75,4.75,,,
A183,11455260208875445,1/1/21,20005579,Q,1,A183,23.26,20.9,3.49,11.03,8.51,6.38,,,
A184,11478377776201010,1/1/21,20005579,Q,2,A184,67.78,53.32,10.16,34.18,8.98,8.98,,,
A185,11360243141358663,1/1/21,20036165,L,6,A185,41.98,40.21,6.3,22.92,10.99,10.99,,,
A186,11115281784362649,1/1/21,20005579,Q,1,A186,33.89,28.55,5.08,17.09,8.81,6.38,,,
A187,11369691757265051,1/1/21,20036166,J,1,A187,125.02,126.47,10,105.18,11.29,11.29,,,
A188,11364489715435464,1/1/21,21005580,O,1,A188,9.49,12.09,0.76,2.35,8.98,8.98,,,
A189,11115542812622650,1/1/21,21036167,L,2,A189,35.72,35.43,5.36,25.32,4.75,4.75,,,
A190,11409154263870623,1/1/21,21005580,Q,1,A190,33.89,28.86,5.08,17.09,8.98,6.69,,,
A191,11199866878589055,1/1/21,21005580,Q,1,A191,33.89,28.55,5.08,17.09,8.98,6.38,,,
A192,11216050388065069,1/1/21,21005580,Q,1,A192,33.89,28.55,5.08,17.09,8.81,6.38,,,
A193,11323866572501025,1/1/21,21036288,L,4,A193,42.89,43.34,6.43,31.16,5.75,5.75,,,
