Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A212,11334643479289823,11/17/20,20018712,L,6,A212,34.37,34.39,5.16,21.24,7.99,7.99,,,
A213,11465330100293847,11/17/20,20018724,D,1,A213,15.16,26.37667,2.27,4.6,19.50667,19.50667,,,
A214,11361801224868250,11/30/20,20024074,H,1,A214,13.68,13.95,2.05,5.65,4.75,4.75,,,
A215,11432489934726664,11/22/20,20020549,D,1,A215,28.38,78.82,4.26,16.04,58.52,58.52,,,
A216,11111970074783416,11/19/20,20019190,L,1,A216,50.4,47.98,7.56,35.67,4.75,4.75,,,
A217,11199160885192209,11/21/20,20019968,L,1,A217,45.69,40.33,6.85,26.49,6.99,6.99,,,
A218,11440963273621845,11/16/20,20018163,L,1,A218,50.11,47.94,7.52,35.67,4.75,4.75,,,
A219,11420246714205812,11/14/20,20017404,L,12,A219,24,22.76,3.6,12.17,6.99,6.99,,,
A220,11208503294988206,11/15/20,20017679,L,1,A220,50.1,47.94,7.52,35.67,4.75,4.75,,,
A221,11125133158439454,11/22/20,20020468,L,12,A221,22.15,22.48,3.32,12.17,6.99,6.99,,,
A222,11246561276031403,11/23/20,20021163,L,4,A222,27.83,24.48,4.17,13.32,6.99,6.99,,,
A223,11486484480371437,11/6/20,20015447,L,1,A223,47.65,47.57,7.15,35.67,4.75,4.75,,,
A224,11151311706928233,11/15/20,20017945,L,24,A224,63.15,62.84,9.47,46.38,6.99,6.99,,,
A225,11312360173129048,11/23/20,20020881,L,4,A225,27.83,24.48,4.17,13.32,6.99,6.99,,,
A226,11397477878106611,11/7/20,20015816,H,12,A226,32.62,35.38,4.9,21.48,7.5,7.5,,,
A227,11494745659748220,11/23/20,20020826,L,1,A227,14.28,11.02,2.14,5.13,3.75,3.75,,,
A228,11107365649359447,11/3/20,20014538,L,2,A228,21.88,21.43,3.28,11.16,6.99,6.99,,,
A229,11494745659748220,11/23/20,20020826,L,1,A229,16.22,11.31,2.43,5.13,3.75,3.75,,,
A230,11373520244059461,11/24/20,20021349,L,1,A230,50.4,47.98,7.56,35.67,4.75,4.75,,,
A231,11278583502966623,11/30/20,20023950,L,1,A231,16.22,14.55,2.43,5.13,6.99,6.99,,,
A232,11161546871857005,11/19/20,20019307,L,1,A232,51.47,48.14,7.72,35.67,4.75,4.75,,,
A233,11301655083281815,11/30/20,20024391,L,2,A233,19.61,18.89,2.94,10.2,5.75,5.75,,,
A234,11282720263113835,11/29/20,20023681,L,12,A234,24.85,24.15,3.73,13.43,6.99,6.99,,,
A235,11265493234529867,11/30/20,20024366,L,24,A235,49.7,41.82,7.46,26.86,7.5,7.5,,,
A236,11345717060642623,11/22/20,20020559,D,1,A236,28.38,78.88,4.32,16.04,58.52,58.52,,,
A237,11430528822905825,11/8/20,20016064,L,1,A237,47.96,47.61,7.19,35.67,4.75,4.75,,,
A238,11441337412681830,11/16/20,20018009,L,1,A238,50.1,47.94,7.52,35.67,4.75,4.75,,,
A239,11229866944710643,11/30/20,20024516,L,12,A239,25.92,26.45,3.89,15.57,6.99,6.99,,,
A240,11181417510774614,11/22/20,20020516,L,12,A240,22.15,22.48,3.32,12.17,6.99,6.99,,,
A241,11115792673367436,11/22/20,20020584,L,12,A241,22.15,22.48,3.32,12.17,6.99,6.99,,,
A242,11372919047766657,11/28/20,20023016,L,12,A242,24.75,24.13,3.71,13.43,6.99,6.99,,,
A243,11289202017993007,11/8/20,20016124,L,1,A243,47.96,47.61,7.19,35.67,4.75,4.75,,,
A244,11427644686402651,11/7/20,20015786,L,6,A244,16.31,21.62,2.45,12.18,6.99,6.99,,,
A245,11101476774995477,11/26/20,20022025,L,2,A245,92.62,74.38,13.9,52.98,7.5,7.5,,,
A246,11155977965019428,11/22/20,20020423,L,12,A246,22.15,22.48,3.32,12.17,6.99,6.99,,,
A247,11498540418161825,11/17/20,20018574,L,6,A247,34.37,34.39,5.16,21.24,7.99,7.99,,,
A248,11455762093181803,11/20/20,20019496,L,1,A248,18.73,17.51,2.81,9.95,4.75,4.75,,,
